"Date","Price","Open","High","Low","Vol.","Change %"
"04/10/2024","1,164.75","1,174.75","1,180.75","1,163.00","156.54K","-0.83%"
"04/09/2024","1,174.50","1,181.50","1,184.25","1,172.00","167.03K","-0.59%"
"04/08/2024","1,181.50","1,187.75","1,193.25","1,180.50","159.39K","-0.30%"
"04/05/2024","1,185.00","1,178.00","1,190.75","1,173.00","162.61K","0.42%"
"04/04/2024","1,180.00","1,182.25","1,186.75","1,170.25","119.94K","-0.19%"
"04/03/2024","1,182.25","1,175.50","1,186.75","1,168.50","160.35K","0.70%"
"04/02/2024","1,174.00","1,185.50","1,199.75","1,171.00","173.48K","-0.99%"
"04/01/2024","1,185.75","1,196.25","1,201.75","1,181.50","104.40K","-0.52%"
"03/29/2024","1,192.00","1,192.00","1,192.00","1,192.00","","0.04%"
"03/28/2024","1,191.50","1,191.75","1,199.50","1,177.00","160.36K","-0.08%"
"03/27/2024","1,192.50","1,196.75","1,198.00","1,189.50","104.40K","-0.54%"
"03/26/2024","1,199.00","1,207.50","1,208.00","1,197.75","119.01K","-0.85%"
"03/25/2024","1,209.25","1,194.00","1,210.00","1,188.50","106.77K","1.40%"
"03/22/2024","1,192.50","1,211.00","1,211.25","1,189.25","121.90K","-1.61%"
"03/21/2024","1,212.00","1,209.00","1,226.75","1,204.00","150.05K","0.21%"
"03/20/2024","1,209.50","1,185.50","1,211.75","1,183.50","161.26K","2.02%"
"03/19/2024","1,185.50","1,188.00","1,192.25","1,181.00","103.62K","-0.19%"
"03/18/2024","1,187.75","1,198.50","1,206.00","1,186.75","97.55K","-0.88%"
"03/15/2024","1,198.25","1,194.50","1,200.00","1,183.50","117.89K","1.48%"
"03/14/2024","1,180.75","1,182.00","1,198.50","1,182.00","0.07K","-0.08%"
"03/13/2024","1,181.75","1,178.25","1,182.75","1,173.75","0.02K","-0.02%"
"03/12/2024","1,182.00","1,167.00","1,176.00","1,167.00","0.07K","1.46%"
"03/11/2024","1,165.00","1,170.00","1,170.75","1,169.00","0.04K","-1.60%"
"03/08/2024","1,184.00","1,165.00","1,185.00","1,153.75","192.52K","1.52%"
"03/07/2024","1,166.25","1,149.00","1,167.00","1,147.00","146.03K","1.57%"
"03/06/2024","1,148.25","1,149.25","1,153.50","1,140.25","102.49K","-0.07%"
"03/05/2024","1,149.00","1,155.00","1,158.75","1,146.75","120.02K","-0.52%"
"03/04/2024","1,155.00","1,152.25","1,165.75","1,151.00","112.79K","0.33%"
"03/01/2024","1,151.25","1,139.00","1,152.25","1,137.25","104.11K","0.92%"
"02/29/2024","1,140.75","1,144.75","1,148.75","1,128.50","142.37K","-0.39%"
"02/28/2024","1,145.25","1,141.50","1,151.50","1,134.00","129.92K","0.39%"
"02/27/2024","1,140.75","1,145.00","1,161.50","1,138.50","173.77K","-0.39%"
"02/26/2024","1,145.25","1,145.00","1,151.00","1,133.50","161.76K","0.31%"
"02/23/2024","1,141.75","1,153.00","1,158.50","1,138.25","167.46K","-0.52%"
"02/22/2024","1,147.75","1,161.00","1,167.25","1,146.75","136.67K","-1.12%"
"02/21/2024","1,160.75","1,179.00","1,179.25","1,157.50","113.65K","-1.55%"
"02/20/2024","1,179.00","1,177.75","1,188.50","1,174.00","145.02K","0.58%"
"02/16/2024","1,172.25","1,163.75","1,173.75","1,162.25","99.94K","0.86%"
